Customer ID,Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
835-195-6511,Sevier Core — Search,Hardscapes & Patios,paver patio installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Hardscapes & Patios,patio builders near me,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Hardscapes & Patios,hardscape contractors,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Hardscapes & Patios,paver walkway installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Hardscapes & Patios,backyard patio contractor,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Hardscapes & Patios,stone patio installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Hardscapes & Patios,,,,Responsive search ad,https://www.mtnlandscapers.com/hardscapes,hardscapes,patios,Paver Patios Sevierville,Patio Design & Install,Hardscape Contractors,Build Your Paver Patio,Free Patio Estimate,"Patios, Walkways, Steps",Stone & Paver Hardscapes,Somewhere to Actually Sit,Mountain Landscapers,Free Estimates,Insured Local Crew,Call (865) 280-4642,Serving Sevier County,Get a Free Estimate,Sevierville Based Crew,"Paver patios, walkways and steps across Sevier County. Free estimates.",Patios laid to the contour of your yard. Call (865) 280-4642.,Insured crews and a free estimate before any work starts.,"Serving Sevierville, Pigeon Forge, Gatlinburg, Seymour and Kodak.",Enabled
835-195-6511,Sevier Core — Search,Outdoor Lighting,landscape lighting installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Outdoor Lighting,outdoor lighting installers,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Outdoor Lighting,path lighting installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Outdoor Lighting,landscape lighting design,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Outdoor Lighting,outdoor lighting company near me,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Outdoor Lighting,,,,Responsive search ad,https://www.mtnlandscapers.com/outdoor-lighting-design,outdoor,lighting,Outdoor Lighting Design,Landscape Lighting Install,Path & Uplighting,Light Your Yard at Night,Free Lighting Estimate,Outdoor Lighting Sevierville,Landscape Lighting Quote,Don't Lose the Yard at Dusk,Mountain Landscapers,Free Estimates,Insured Local Crew,Call (865) 280-4642,Serving Sevier County,Get a Free Estimate,Sevierville Based Crew,Landscape lighting designed and installed across Sevier County.,"Path lights, uplighting and wall washing. Free estimate.",Insured crews. Call (865) 280-4642 to plan your lighting.,"Serving Sevierville, Pigeon Forge, Gatlinburg, Seymour and Kodak.",Enabled
835-195-6511,Sevier Core — Search,Drainage,yard drainage solutions,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
