path,status,title,h1,meta_description_len,word_count,jsonld_types,canonical,robots,internal_links,imgs_missing_alt
/water-features,200,Top-Notch Water Features | Mountain Landscapers,Landscape Water Feature Design and Installation in Sevierville TN,90,1661,,https://www.mtnlandscapers.com/water-features,,24,1
/retaining-walls,200,Retaining Wall Design and Installation | Mountain Landscapers,Retaining Wall Design and Installation﻿,154,1578,,https://www.mtnlandscapers.com/retaining-walls,,24,2
/,200,Landscape Design and Install Sevier Co.| Mountain Landscapers,"Landscape Design and Installation Sevierville, TN (865) 280-4642",165,2117,HomeAndConstructionBusiness|WebSite,https://www.mtnlandscapers.com/,,24,1
/outdoor-lighting-design,200,Beautiful Outdoor Lighting Design | Mountain Landscapers,Outdoor Lighting Design and Installation Sevierville TN,137,1432,,https://www.mtnlandscapers.com/outdoor-lighting-design,,24,1
/thank-you,200,Thank You for Choosing Mountain Landscapers,We Received Your Submission!,137,815,,https://www.mtnlandscapers.com/thank-you,,24,1
/shrub-care,200,Shrub Care | Mountain Landscapers,Shrub Care Sevierville TN,60,1213,,https://www.mtnlandscapers.com/shrub-care,,24,1
/pressure-washing,200,Pressure Washing | Mountain Landscapers,Professional Pressure Washing Sevierville TN,87,1496,,https://www.mtnlandscapers.com/pressure-washing,,24,1
/gatlinburg,200,Landscape Design and Install Sevier Co.| Mountain Landscapers,"Landscape Design and Installation Gatlinburg, TN (865) 280-4642",165,2103,,https://www.mtnlandscapers.com/gatlinburg,,24,3
/leaf-removal,200,Leaf Removal | Mountain Landscapers,Leaf Blowing Sevierville TN,174,1087,,https://www.mtnlandscapers.com/leaf-removal,,24,1
/hardscapes,200,Hardscape Design and Install | Mountain Landscapers,Hardscapes of Sevierville,91,1454,,https://www.mtnlandscapers.com/hardscapes,,24,1
/sevierville,200,Landscape Design and Install Sevier Co.| Mountain Landscapers,"Landscape Design and Installation Sevierville, TN (865) 280-4642",165,2113,,https://www.mtnlandscapers.com/sevierville,,24,1
/apply,200,Mountain Landscapers of Sevierville! | (865) 280-4642,,173,1058,,https://www.mtnlandscapers.com/apply,,24,1
/tree-removal-and-service,200,Exquisite Garden Design Services | Mountain Landscapers,Tree Removal and Tree Service,164,1275,,https://www.mtnlandscapers.com/tree-removal-and-service,,24,1
/accessibility,200,Mountain Landscapers of Sevierville! | (865) 280-4642,Mountain Landscapers Accessibility Statement,173,1055,,https://www.mtnlandscapers.com/accessibility,,24,1
/seymour,200,Landscape Design and Install Sevier Co.| Mountain Landscapers,"Landscape Design and Installation Seymour, TN (865) 280-4642",165,2267,,https://www.mtnlandscapers.com/seymour,,24,3
/septic-tank-installation,200,Septic Tank Installation | Mountain Landscapers,Septic Tank Installation,100,1218,,https://www.mtnlandscapers.com/septic-tank-installation,,24,1
/fire-pits,200,Custom Fire Pit Design and Installation | Mountain Landscapers,Fire Pit Design and Installation Sevierville TN,140,1761,,https://www.mtnlandscapers.com/fire-pits,,24,4
/Garden-Services,200,Exquisite Garden Design Services | Mountain Landscapers,Garden Design and Installation﻿,145,1527,,https://www.mtnlandscapers.com/Garden-Services,,24,2
/our-blog,200,Mountain Landscapers of Sevierville! | (865) 280-4642,Mountain Landscaper's East Tennessee Landscaping Blog,173,1404,,https://www.mtnlandscapers.com/our-blog,,27,5
/contact,200,Contact Mountain Landscapers | Get in Touch Today,Contact Us Below!,139,762,,https://www.mtnlandscapers.com/contact,,24,1
/lawn-care,200,Lawn Care and Yard Maintenance | Mountain Landscapers,Keep Your Yard Looking Its Best with Professional Lawn Care in Sevierville,141,1396,FAQPage,https://www.mtnlandscapers.com/lawn-care,,24,1
/irrigation-services,200,Irrigation Install and Service | Mountain Landscapers,Irrigation Services in Sevierville,95,1362,FAQPage,https://www.mtnlandscapers.com/irrigation-services,,24,1
/thankyousf,200,Mountain Landscapers of Sevierville! | (865) 280-4642,Thank You!,173,724,,https://www.mtnlandscapers.com/thankyousf,,24,1
/mastering-the-art-of-leaf-removal-practical-tips-for-a-tidy-yard,200,Mastering the Art of Leaf Removal: Practical Tips for a Tidy Yard,Mastering the Art of Leaf Removal: Practical Tips for a Tidy Yard,173,981,BlogPosting,https://www.mtnlandscapers.com/mastering-the-art-of-leaf-removal-practical-tips-for-a-tidy-yard,,26,5
/elevate-your-winter-landscape-great-landscaping-ideas-for-the-season,200,Elevate Your Winter Landscape: Great Landscaping Ideas for the Season,Elevate Your Winter Landscape: Great Landscaping Ideas for the Season,173,1909,BlogPosting,https://www.mtnlandscapers.com/elevate-your-winter-landscape-great-landscaping-ideas-for-the-season,,26,5
/simple-tips-for-preparing-your-landscaping-for-winter,200,8 short Tips for Preparing Your Property for Winter!,8 short Tips for Preparing Your Property for Winter!,173,1836,BlogPosting,https://www.mtnlandscapers.com/simple-tips-for-preparing-your-landscaping-for-winter,,26,4
/seasonal-landscaping-tips-thriving-in-sevierville-s-climate,200,Seasonal Landscaping Tips: Thriving in Sevierville's Climate,Seasonal Landscaping Tips: Thriving in Sevierville's Climate,173,1787,BlogPosting,https://www.mtnlandscapers.com/seasonal-landscaping-tips-thriving-in-sevierville-s-climate,,26,5
